FacilityID,DNA_Conc,Library_Conc,SampleID,i7Indexes,i5Indexes,SampleType,Filler,CaseNumber,MatchedSample,Bactibilia,Organisms,BacteriaPLUS-BacteriaNEG,LifeStage,Sex,Breed,Patient-Control,FebrileLESSTHANEQUAL103HyperthermicorNormothermic,PCV,PP,PLT,WBC,SEG,BAND,TOTALLYMPH,MONO,EOS,BUN,CREAT,ALT,ALP,GGT,AST,CK,TBILI,ALB,GLOB,CHOL,GLU,ClinicalDiagnosisofCholangitisvsOther,Inflammatorycellsoncytology,CulturePLUSmultiple.single.none,GIPanelPerformed,fPLI,Cobalamin-Folate,Antibioticusagecurrentorwithinpast30d,GBabnormalitiesPLUSorNEG,Wallthickening,Wallhyperechogenicity,GBSludge,CBDDilation,CBDWallThickening,Choleliths,Mucosalhyperplasia,PancreasabnormalitiesPLUSorNEG,Hypoechoicparenchyma,Heterogeneousparenchyma,Hyperechoicmesentery,Enlarged,Nodules,IntestinalabnormalitiesPLUSorNEG,Lossofwalllayering,Thickenedlayers,Abnormallayer,Dilation,LiverabnormalitiesPLUSorNEG,Hypoechoic,Hyperechoic,Gallbladder-Liverabnormalities,LymphnodeabnormalitiesYorN,Abnormallymphnodes,Intestinal-Nodalabnormalities,PeritonealEffusion,ElevatedLEActivityALT.ALP.both,Cholestaticvs.Hepatocellularvs.Mixed,InflammationPLUS-InflammationNEG,Inflamm-Bacteria,ELE-Bacteria,GBAUS-Bacteria,Inflamm-ELE-Bacteria,Inflamm-GBAUS-Bacteria,ELE-GBAUS-Bacteria,Inflamm-ELE-GBAUS-Bacteria,Inflamm-ELE,Inflamm-GBAUS,ELE-GBAUS,Inflamm-ELE-GBAUS,InflammPLUSPancAUS,fPLiPLUSPancAUS,InflammPLUSfPLiPLUSPancAUS,LowB12-FolatePLUSITAUS,LowB12-FolatePLUSITAUSPLUSNodeAUS,HistopathMDPNOducts
11,ND,3.159451465,718-516,718,516,Positive,NA,211476,NA,Nobactibilia,Noculturedorganisms,BacteriaNEG,Senior,FS,DLH,Patient,Normothermic,NormalPCV,NormalPP,NormalPLT,Leukocytosis,SegmentedNeutrophilia,NormalBAND,NormalLYMPH,NormalMONO,Eosinophilia,NormalBUN,NormalCREAT,NormalALT,NormalALP,NormalGGT,NormalAST,NormalCK,NormalTBILI,NormalALB,NormalGLOB,NormalCHOL,Normoglycemia,OtherDiagnosis,Noinflammatorycells,None,NoGIPanel,Notperformed,Notperformed,Noantibiotics,GBAUSPLUS,N,N,Y,N,N,N,N,PancAUSNEG,N,N,N,N,N,ITAUSPLUS,N,Y,muscularis,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSNEG,NA,ITAUSPLUS-NodeAUSNEG,Y,NormalLE,Normal,InflammPLUS,InflammPLUS-BacteriaNEG,ELENEG-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG-BacteriaNEG,InflammPLUS-GBAUSPLUS-BacteriaNEG,ELENEG-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG,InflammPLUS-GBAUSPLUS,ELENEG-GBAUSPLUS,InflammPLUS-ELENEG-GBAUSPLUS,InflammPLUS-PancAUSNEG,NA,NA,NA,NA,NA
12,ND,1.829942338,718-517,718,517,Positive,NA,211769,NA,Nobactibilia,Noculturedorganisms,BacteriaNEG,Junior,MC,DSH,Patient,Normothermic,Anemic,NormalPP,Thrombocytosis,Leukocytosis,SegmentedNeutrophilia,BandNeutrophilia,NormalLYMPH,Monocytosis,NormalEOS,NormalBUN,NormalCREAT,NormalALT,NormalALP,NormalGGT,NormalAST,NormalCK,NormalTBILI,NormalALB,NormalGLOB,NormalCHOL,Normoglycemia,OtherDiagnosis,Noinflammatorycells,None,NoGIPanel,Notperformed,Notperformed,Current-previousantibioticusage,GBAUSPLUS,N,N,Y,N,N,N,N,PancAUSPLUS,Y,N,Y,Y,N,ITAUSPLUS,N,Y,muscularis,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSPLUS,jejunal.colonic,ITAUSPLUS-NodeAUSPLUS,Y,NormalLE,Normal,InflammPLUS,InflammPLUS-BacteriaNEG,ELENEG-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG-BacteriaNEG,InflammPLUS-GBAUSPLUS-BacteriaNEG,ELENEG-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG,InflammPLUS-GBAUSPLUS,ELENEG-GBAUSPLUS,InflammPLUS-ELENEG-GBAUSPLUS,InflammPLUS-PancAUSPLUS,NA,NA,NA,NA,NA
13,ND,1.083027098,718-518,718,518,Positive,NA,181217,NA,Nobactibilia,Noculturedorganisms,BacteriaNEG,Geriatric,FS,DSH,Patient,Normothermic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OtherDiagnosis,Noinflammatorycells,None,NoGIPanel,Notperformed,Notperformed,Noantibiotics,GBAUSPLUS,N,N,Y,N,N,N,N,PancAUSNEG,N,N,N,N,N,ITAUSNEG,N,N,none,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSNEG,NA,ITAUSNEG-NodeAUSNEG,N,NA,NA,NA,NA,NA,GBAUSPLUS-BacteriaNEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.002627016,1.520719429,718-520,718,520,Positive,NA,214766,NA,Nobactibilia,Noculturedorganisms,BacteriaNEG,Senior,FS,DSH,Patient,Normothermic,Anemic,NormalPP,Thrombocytosis,NormalWBC,SegmentedNeutrophilia,NormalBAND,NormalLYMPH,Monocytosis,NormalEOS,LowBUN,NormalCREAT,ElevatedALT,ElevatedALP,ElevatedGGT,ElevatedAST,NormalCK,Hyperbilirubinemia,NormalALB,NormalGLOB,NormalCHOL,Hyperglycemia,Cholangitis,Noinflammatorycells,None,NoGIPanel,Notperformed,Notperformed,Noantibiotics,GBAUSPLUS,Y,Y,N,N,N,N,N,PancAUSPLUS,Y,Y,Y,Y,N,ITAUSPLUS,N,Y,muscularis,N,HepAUSPLUS,N,Y,GBAUSPLUS-HepAUSPLUS,NodeAUSNEG,NA,ITAUSPLUS-NodeAUSNEG,N,ElevatedLEActivity,Cholestatic,InflammPLUS,InflammPLUS-BacteriaNEG,ELEPLUS-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS-BacteriaNEG,InflammPLUS-GBAUSPLUS-BacteriaNEG,ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS,InflammPLUS-GBAUSPLUS,ELEPLUS-GBAUSPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS,InflammPLUS-PancAUSPLUS,NA,NA,NA,NA,NA
15,ND,2.39610409,718-521,718,521,Positive,NA,213709,NA,Nobactibilia,Noculturedorganisms,BacteriaNEG,Junior,FS,DSH,Patient,Normothermic,NormalPCV,NormalPP,NormalPLT,Leukocytosis,SegmentedNeutrophilia,BandNeutrophilia,NormalLYMPH,NormalMONO,NormalEOS,HighBUN,NormalCREAT,ElevatedALT,NormalALP,NormalGGT,NormalAST,NormalCK,NormalTBILI,NormalALB,NormalGLOB,Hypocholesterolemia,Hyperglycemia,OtherDiagnosis,Noinflammatorycells,None,GIPanel,Normal,Normal,Noantibiotics,GBAUSPLUS,N,N,Y,N,N,N,N,PancAUSPLUS,Y,N,N,N,N,ITAUSPLUS,N,Y,allgastricwalllayers,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSPLUS,jejunal.colonic.aortic,ITAUSPLUS-NodeAUSPLUS,N,ElevatedLEActivity,Hepatocellular,InflammPLUS,InflammPLUS-BacteriaNEG,ELEPLUS-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS-BacteriaNEG,InflammPLUS-GBAUSPLUS-BacteriaNEG,ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS,InflammPLUS-GBAUSPLUS,ELEPLUS-GBAUSPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS,InflammPLUS-PancAUSPLUS,fPLiNEG-PancAUSNEG,InflammPLUS-fPLiNEG-PancAUSNEG,LowB12-FolateNEG-ITAUSPLUS,LowB12-FolateNEG-ITAUSPLUS-NodeAUSPLUS,NA
16,ND,15.61650384,718-522,718,522,Positive,NA,216273,NA,Nobactibilia,Noculturedorganisms,BacteriaNEG,Senior,FS,DMH,Patient,Normothermic,NormalPCV,LowPP,NormalPLT,NormalWBC,NormalSEG,NormalBAND,NormalLYMPH,NormalMONO,Eosinophilia,NormalBUN,NormalCREAT,NormalALT,NormalALP,NormalGGT,NormalAST,NormalCK,NormalTBILI,NormalALB,NormalGLOB,Hypocholesterolemia,Normoglycemia,OtherDiagnosis,Noinflammatorycells,None,GIPanel,Normal,Low,Noantibiotics,GBAUSPLUS,N,N,Y,N,N,N,N,PancAUSNEG,N,N,N,N,N,ITAUSPLUS,N,Y,muscularis,Y,HepAUSPLUS,Y,N,GBAUSPLUS-HepAUSPLUS,NodeAUSPLUS,jejunal,ITAUSPLUS-NodeAUSPLUS,Y,NormalLE,Normal,InflammNEG,InflammNEG-BacteriaNEG,ELENEG-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammNEG-ELENEG-BacteriaNEG,InflammNEG-GBAUSPLUS-BacteriaNEG,ELENEG-GBAUSPLUS-BacteriaNEG,InflammNEG-ELENEG-GBAUSPLUS-BacteriaNEG,InflammNEG-ELENEG,InflammNEG-GBAUSPLUS,ELENEG-GBAUSPLUS,InflammNEG-ELENEG-GBAUSPLUS,InflammNEG-PancAUSNEG,fPLiNEG-PancAUSNEG,InflammNEG-fPLiNEG-PancAUSNEG,LowB12-FolatePLUS-ITAUSPLUS,LowB12-FolatePLUS-ITAUSPLUS-NodeAUSPLUS,NA
17,ND,5.951420633,719-513,719,513,Positive,NA,192843,NA,Nobactibilia,Noculturedorganisms,BacteriaNEG,Geriatric,MC,DSH,Patient,Hyperthermic,Anemic,LowPP,NormalPLT,NormalWBC,SegmentedNeutrophilia,BandNeutrophilia,Lymphopenia,NormalMONO,Eosinophilia,NormalBUN,NormalCREAT,ElevatedALT,NormalALP,NormalGGT,ElevatedAST,HighCK,Hyperbilirubinemia,Hypoalbuminemia,NormalGLOB,Hypocholesterolemia,Normoglycemia,Cholangitis,Noinflammatorycells,None,GIPanel,ElevatedfPLi,Low,Noantibiotics,GBAUSPLUS,N,N,Y,Y,N,N,N,PancAUSNEG,N,N,N,N,N,ITAUSPLUS,N,Y,alllayershyperechoic,N,HepAUSPLUS,N,Y,GBAUSPLUS-HepAUSPLUS,NodeAUSNEG,NA,ITAUSPLUS-NodeAUSNEG,N,ElevatedLEActivity,Hepatocellular,InflammPLUS,InflammPLUS-BacteriaNEG,ELEPLUS-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS-BacteriaNEG,InflammPLUS-GBAUSPLUS-BacteriaNEG,ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS,InflammPLUS-GBAUSPLUS,ELEPLUS-GBAUSPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS,InflammPLUS-PancAUSNEG,fPLiPLUS-PancAUSNEG,InflammPLUS-fPLiPLUS-PancAUSNEG,LowB12-FolatePLUS-ITAUSPLUS,LowB12-FolatePLUS-ITAUSPLUS-NodeAUSNEG,NA
18,0.002627016,3.383526037,719-515,719,515,Positive,NA,221801,NA,Nobactibilia,Peptostreptococcus,BacteriaPLUS,Mature,FS,DSH,Patient,Normothermic,Anemic,NormalPP,Thrombocytosis,NormalWBC,NormalSEG,NormalBAND,NormalLYMPH,NormalMONO,Eosinopenia,LowBUN,NormalCREAT,ElevatedALT,ElevatedALP,ElevatedGGT,ElevatedAST,NormalCK,Hyperbilirubinemia,NormalALB,NormalGLOB,NormalCHOL,Normoglycemia,Cholangitis,Noinflammatorycells,Single,NoGIPanel,Notperformed,Notperformed,Noantibiotics,GBAUSPLUS,Y,Y,Y,Y,N,N,N,PancAUSPLUS,N,Y,N,N,N,ITAUSPLUS,N,Y,muscularis,N,HepAUSPLUS,N,Y,GBAUSPLUS-HepAUSPLUS,NodeAUSPLUS,colonic,ITAUSPLUS-NodeAUSPLUS,N,ElevatedLEActivity,Cholestatic,InflammNEG,InflammNEG-BacteriaPLUS,ELEPLUS-BacteriaPLUS,GBAUSPLUS-BacteriaPLUS,InflammNEG-ELEPLUS-BacteriaPLUS,InflammNEG-GBAUSPLUS-BacteriaPLUS,ELEPLUS-GBAUSPLUS-BacteriaPLUS,InflammNEG-ELEPLUS-GBAUSPLUS-BacteriaPLUS,InflammNEG-ELEPLUS,InflammNEG-GBAUSPLUS,ELEPLUS-GBAUSPLUS,InflammNEG-ELEPLUS-GBAUSPLUS,InflammNEG-PancAUSNEG,NA,NA,NA,NA,NA
19,106.6805023,29.86316513,719-516,719,516,Positive,NA,222116,NA,Bactibilia,E.coli,BacteriaPLUS,Mature,FS,MaineCoone,Patient,Normothermic,Anemic,HighPP,NormalPLT,NormalWBC,NormalSEG,BandNeutrophilia,NormalLYMPH,NormalMONO,NormalEOS,LowBUN,NormalCREAT,ElevatedALT,NormalALP,NormalGGT,NormalAST,NormalCK,Hyperbilirubinemia,NormalALB,NormalGLOB,Hypercholesterolemia,Normoglycemia,Cholangitis,Inflammatorycells,Single,NoGIPanel,Notperformed,Notperformed,Noantibiotics,GBAUSPLUS,Y,Y,Y,N,Y,N,N,PancAUSPLUS,Y,N,Y,N,N,ITAUSPLUS,N,Y,muscularis,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSNEG,NA,ITAUSPLUS-NodeAUSNEG,N,ElevatedLEActivity,Hepatocellular,InflammPLUS,InflammPLUS-BacteriaPLUS,ELEPLUS-BacteriaPLUS,GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS-BacteriaPLUS,InflammPLUS-GBAUSPLUS-BacteriaPLUS,ELEPLUS-GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS,InflammPLUS-GBAUSPLUS,ELEPLUS-GBAUSPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS,InflammPLUS-PancAUSNEG,NA,NA,NA,NA,NA
20,ND,1.074064115,719-517,719,517,Positive,NA,233401,NA,Nobactibilia,Nocultureperformed,BacteriaNEG,Mature,MC,NorweiganForest,Patient,Normothermic,Anemic,LowPP,Thrombocytopenia,NormalWBC,SegmentedNeutrophilia,BandNeutrophilia,NormalLYMPH,NormalMONO,NormalEOS,HighBUN,NormalCREAT,LowALT,LowALP,NormalGGT,NormalAST,NormalCK,NormalTBILI,Hypoalbuminemia,Hypoglobulinemia,Hypocholesterolemia,Normoglycemia,OtherDiagnosis,Noinflammatorycells,Noculture,NoGIPanel,Notperformed,Notperformed,Currentantibioticusage,GBAUSNEG,N,N,N,N,N,N,N,PancAUSPLUS,N,N,N,N,Y,ITAUSNEG,N,N,none,N,HepAUSPLUS,Y,N,GBAUSNEG-HepAUSPLUS,NodeAUSPLUS,jejunalandcolonic,ITAUSNEG-NodeAUSPLUS,N,NormalLE,Normal,InflammPLUS,InflammPLUS-BacteriaNEG,ELENEG-BacteriaNEG,GBAUSNEG-BacteriaNEG,InflammPLUS-ELENEG-BacteriaNEG,InflammPLUS-GBAUSNEG-BacteriaNEG,ELENEG-GBAUSNEG-BacteriaNEG,InflammPLUS-ELENEG-GBAUSNEG-BacteriaNEG,InflammPLUS-ELENEG,InflammPLUS-GBAUSNEG,ELENEG-GBAUSNEG,InflammPLUS-ELENEG-GBAUSNEG,InflammPLUS-PancAUSPLUS,NA,NA,NA,NA,NA
21,ND,3.940724807,719-518,719,518,Positive,NA,222671,NA,Nobactibilia,Noculturedorganisms,BacteriaNEG,Prime,FS,AustralianMist,Patient,Normothermic,Anemic,NormalPP,Thrombocytopenia,NormalWBC,NormalSEG,NormalBAND,NormalLYMPH,NormalMONO,NormalEOS,NormalBUN,NormalCREAT,ElevatedALT,NormalALP,NormalGGT,NormalAST,NormalCK,NormalTBILI,NormalALB,NormalGLOB,NormalCHOL,Normoglycemia,OtherDiagnosis,Noinflammatorycells,None,NoGIPanel,Notperformed,Notperformed,Noantibiotics,GBAUSPLUS,N,N,Y,N,N,N,N,PancAUSNEG,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ElevatedLEActivity,Hepatocellular,InflammNEG,InflammNEG-BacteriaNEG,ELEPLUS-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammNEG-ELEPLUS-BacteriaNEG,InflammNEG-GBAUSPLUS-BacteriaNEG,ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammNEG-ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammNEG-ELEPLUS,InflammNEG-GBAUSPLUS,ELEPLUS-GBAUSPLUS,InflammNEG-ELEPLUS-GBAUSPLUS,InflammNEG-PancAUSNEG,NA,NA,NA,NA,NA
22,0.091945568,7.428818978,719-520,719,520,Positive,NA,224065,NA,Nobactibilia,Noculturedorganisms,BacteriaNEG,Mature,FS,DMH,Patient,Normothermic,NormalPCV,LowPP,NormalPLT,NormalWBC,SegmentedNeutrophilia,NormalBAND,NormalLYMPH,NormalMONO,NormalEOS,LowBUN,NormalCREAT,ElevatedALT,ElevatedALP,NormalGGT,ElevatedAST,HighCK,Hyperbilirubinemia,Hypoalbuminemia,NormalGLOB,NormalCHOL,Hypoglycemia,Cholangitis,Noinflammatorycells,None,GIPanel,ElevatedfPLi,Low,Noantibiotics,GBAUSPLUS,Y,Y,Y,N,N,N,N,PancAUSNEG,N,N,N,N,N,ITAUSPLUS,N,Y,muscularis,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSNEG,NA,ITAUSPLUS-NodeAUSNEG,N,ElevatedLEActivity,Cholestatic,InflammPLUS,InflammPLUS-BacteriaNEG,ELEPLUS-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS-BacteriaNEG,InflammPLUS-GBAUSPLUS-BacteriaNEG,ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS,InflammPLUS-GBAUSPLUS,ELEPLUS-GBAUSPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS,InflammPLUS-PancAUSNEG,fPLiPLUS-PancAUSNEG,InflammPLUS-fPLiPLUS-PancAUSNEG,LowB12-FolatePLUS-ITAUSPLUS,LowB12-FolatePLUS-ITAUSPLUS-NodeAUSNEG,NA
23,ND,0.867915509,719-521,719,521,Positive,NA,228244,NA,Nobactibilia,Noculturedorganisms,BacteriaNEG,Mature,FS,Ocicat,Patient,Hyperthermic,Anemic,NormalPP,Thrombocytosis,Leukocytosis,SegmentedNeutrophilia,BandNeutrophilia,NormalLYMPH,NormalMONO,Eosinophilia,NormalBUN,NormalCREAT,NormalALT,NormalALP,NormalGGT,NormalAST,NormalCK,Hyperbilirubinemia,NormalALB,NormalGLOB,NormalCHOL,Normoglycemia,Cholangitis,Noinflammatorycells,None,NoGIPanel,Notperformed,Notperformed,Noantibiotics,GBAUSPLUS,N,N,Y,Y,N,Y,N,PancAUSNEG,N,N,N,N,N,ITAUSNEG,N,N,none,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSNEG,NA,ITAUSNEG-NodeAUSNEG,N,NormalLE,Normal,InflammPLUS,InflammPLUS-BacteriaNEG,ELENEG-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG-BacteriaNEG,InflammPLUS-GBAUSPLUS-BacteriaNEG,ELENEG-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG,InflammPLUS-GBAUSPLUS,ELENEG-GBAUSPLUS,InflammPLUS-ELENEG-GBAUSPLUS,InflammPLUS-PancAUSNEG,NA,NA,NA,NA,NA
24,ND,7.53039945,719-522,719,522,Positive,NA,228222,NA,Nobactibilia,Noculturedorganisms,BacteriaNEG,Mature,MC,DSH,Patient,Normothermic,Anemic,NormalPP,Thrombocytopenia,NormalWBC,NormalSEG,BandNeutrophilia,NormalLYMPH,NormalMONO,NormalEOS,NormalBUN,NormalCREAT,NormalALT,LowALP,NormalGGT,ElevatedAST,HighCK,Hyperbilirubinemia,Hypoalbuminemia,NormalGLOB,NormalCHOL,Normoglycemia,OtherDiagnosis,Noinflammatorycells,None,NoGIPanel,Notperformed,Notperformed,Noantibiotics,GBAUSPLUS,N,N,Y,N,N,N,N,PancAUSPLUS,Y,N,N,N,N,ITAUSNEG,N,N,none,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSNEG,NA,ITAUSNEG-NodeAUSNEG,N,NormalLE,Normal,InflammPLUS,InflammPLUS-BacteriaNEG,ELENEG-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG-BacteriaNEG,InflammPLUS-GBAUSPLUS-BacteriaNEG,ELENEG-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG,InflammPLUS-GBAUSPLUS,ELENEG-GBAUSPLUS,InflammPLUS-ELENEG-GBAUSPLUS,InflammPLUS-PancAUSNEG,NA,NA,NA,NA,NA
25,0.002627016,5.120850886,720-513,720,513,Positive,NA,228773,NA,Nobactibilia,Staphepidermis,BacteriaPLUS,Mature,FS,DSH,Patient,Normothermic,Anemic,NormalPP,Thrombocytopenia,NormalWBC,NormalSEG,BandNeutrophilia,NormalLYMPH,Monocytosis,NormalEOS,NormalBUN,HighCREAT,ElevatedALT,LowALP,NormalGGT,ElevatedAST,NormalCK,Hyperbilirubinemia,NormalALB,Hyperglobulinemia,NormalCHOL,Normoglycemia,OtherDiagnosis,Noinflammatorycells,Single,NoGIPanel,Notperformed,Notperformed,Noantibiotics,GBAUSPLUS,Y,Y,Y,N,N,N,N,PancAUSNEG,N,N,N,N,N,ITAUSNEG,N,N,none,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSNEG,NA,ITAUSNEG-NodeAUSNEG,Y,ElevatedLEActivity,Hepatocellular,InflammPLUS,InflammPLUS-BacteriaPLUS,ELEPLUS-BacteriaPLUS,GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS-BacteriaPLUS,InflammPLUS-GBAUSPLUS-BacteriaPLUS,ELEPLUS-GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS,InflammPLUS-GBAUSPLUS,ELEPLUS-GBAUSPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS,InflammPLUS-PancAUSNEG,NA,NA,NA,NA,NA
26,0.005254032,6.271100356,720-515,720,515,Positive,NA,231133,NA,Nobactibilia,Nocultureperformed,BacteriaNEG,Geriatric,FS,Himalayan,Patient,Normothermic,Anemic,NormalPP,Clumps,NormalWBC,SegmentedNeutrophilia,BandNeutrophilia,NormalLYMPH,NormalMONO,NormalEOS,HighBUN,NormalCREAT,NormalALT,NormalALP,NormalGGT,ElevatedAST,HighCK,Hyperbilirubinemia,Hypoalbuminemia,NormalGLOB,NormalCHOL,Normoglycemia,Cholangitis,Noinflammatorycells,Noculture,GIPanel,ElevatedfPLi,Low,Noantibiotics,GBAUSPLUS,N,N,Y,Y,N,N,N,PancAUSPLUS,N,N,Y,N,N,ITAUSNEG,N,N,none,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSNEG,NA,ITAUSNEG-NodeAUSNEG,N,NormalLE,Normal,InflammPLUS,InflammPLUS-BacteriaNEG,ELENEG-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG-BacteriaNEG,InflammPLUS-GBAUSPLUS-BacteriaNEG,ELENEG-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG,InflammPLUS-GBAUSPLUS,ELENEG-GBAUSPLUS,InflammPLUS-ELENEG-GBAUSPLUS,InflammPLUS-PancAUSPLUS,fPLiPLUS-PancAUSPLUS,InflammPLUS-fPLiPLUS-PancAUSPLUS,LowB12-FolatePLUS-ITAUSNEG,LowB12-FolatePLUS-ITAUSNEG-NodeAUSNEG,NA
27,ND,5.16417197,720-516,720,516,Positive,NA,233980,NA,Nobactibilia,Noculturedorganisms,BacteriaNEG,Prime,MC,DLH,Patient,Normothermic,Anemic,HighPP,Clumps,Leukocytosis,SegmentedNeutrophilia,BandNeutrophilia,NormalLYMPH,Monocytosis,NormalEOS,HighBUN,HighCREAT,ElevatedALT,NormalALP,NormalGGT,NormalAST,NormalCK,Hyperbilirubinemia,NormalALB,NormalGLOB,Hypercholesterolemia,Normoglycemia,OtherDiagnosis,Noinflammatorycells,None,NoGIPanel,Notperformed,Notperformed,Noantibiotics,GBAUSPLUS,N,N,Y,N,N,N,N,PancAUSNEG,N,N,Y,N,N,ITAUSNEG,N,N,none,N,HepAUSPLUS,Y,N,GBAUSPLUS-HepAUSPLUS,NodeAUSNEG,NA,ITAUSNEG-NodeAUSNEG,N,ElevatedLEActivity,Hepatocellular,InflammPLUS,InflammPLUS-BacteriaNEG,ELEPLUS-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS-BacteriaNEG,InflammPLUS-GBAUSPLUS-BacteriaNEG,ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS,InflammPLUS-GBAUSPLUS,ELEPLUS-GBAUSPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS,InflammPLUS-PancAUSNEG,NA,NA,NA,NA,NA
